cetnost,jmeno,vocativ,sex,id,jmeno_ascii
168,Carmen,Carmen,F,583,carmen
168,Hedviga,Hedvigo,F,584,hedviga
168,Nikoleta,Nikoleto,F,585,nikoleta
165,Charlotta,Charlotto,F,586,charlotta
165,Jozefina,Jozefino,F,587,jozefina
164,Emily,Emily,F,588,emily
164,Zděna,Zděno,F,589,zdena
162,Ngoc,Ngoc,F,590,ngoc
162,Polina,Polino,F,591,polina
162,Yvonna,Yvonno,F,592,yvonna
161,Jena,Jeno,F,593,jena
160,Amália,Amálio,F,594,am'alia
160,Yen,Yen,F,595,yen
159,Estera,Estero,F,596,estera
159,Halka,Halko,F,597,halka
158,Cecília,Cecílio,F,598,cec'ilia
158,Nadežda,Nadeždo,F,599,nadezda
158,Nhung,Nhung,F,600,nhung
158,Petronela,Petronelo,F,601,petronela
157,Angelina,Angelino,F,602,angelina
156,Anzhela,Anzhelo,F,603,anzhela
156,Justína,Justíno,F,604,just'ina
156,Maja,Majo,F,605,maja
156,Vitaliya,Vitaliyo,F,606,vitaliya
155,Yvonne,Yvonne,F,607,yvonne
154,Anetta,Anetto,F,608,anetta
154,Dušana,Dušano,F,609,dusana
154,Marianne,Marianne,F,610,marianne
154,Valeriya,Valeriyo,F,611,valeriya
153,Antonína,Antoníno,F,612,anton'ina
153,Gerta,Gerto,F,613,gerta
153,Liduše,Liduše,F,614,liduse
152,Annelies,Annelies,F,615,annelies
152,Cristina,Cristino,F,616,cristina
152,Hermina,Hermino,F,617,hermina
152,Tatyana,Tatyano,F,618,tatyana
151,Charlota,Charloto,F,619,charlota
151,Lien,Lien,F,620,lien
151,Viktoriia,Viktoriio,F,621,viktoriia
150,Beatrice,Beatrice,F,622,beatrice
150,René,René,F,623,ren'e
150,Thanh,Thanh,F,624,thanh
148,Elizaveta,Elizaveto,F,625,elizaveta
147,Christine,Christine,F,626,christine
147,Isabella,Isabello,F,627,isabella
147,Sophia,Sophio,F,628,sophia
146,Hong,Hong,F,629,hong
145,Ulyana,Ulyano,F,630,ulyana
144,Aurelia,Aurelio,F,631,aurelia
144,Greta,Greto,F,632,greta
144,Hanh,Hanh,F,633,hanh
143,Amelie,Amelie,F,634,amelie
143,Ksenia,Ksenio,F,635,ksenia
143,Samantha,Samantho,F,636,samantha
142,Lilia,Lilio,F,637,lilia
141,Dina,Dino,F,638,dina
141,Heda,Hedo,F,639,heda
141,Malgorzata,Malgorzato,F,640,malgorzata
141,Natalja,Nataljo,F,641,natalja
141,Nelya,Nelyo,F,642,nelya
140,Augusta,Augusto,F,643,augusta
139,Agneša,Agnešo,F,644,agnesa
139,Albina,Albino,F,645,albina
139,Hanka,Hanko,F,646,hanka
139,Ilse,Ilse,F,647,ilse
139,Juliána,Juliáno,F,648,juli'ana
139,Olivie,Olivie,F,649,olivie
